Location Code	Real Property Asset Name	Installation Name	Owned or Leased	GSA Region	Street Address	City	State	Zip Code	Latitude	Longitude	Building Rentable Square Feet	Available Square Feet	Construction Date	Congressional District	Congressional District Representative Name	Building Status	Real Property Asset Type
AK0001	ANCHORAGE HISTORIC FEDERAL BUILDING	ANCHORAGE FEDERAL	F	10	605 W 4TH AVE	ANCHORAGE	AK	99501	61.2188715	-149.8944574	"91,223.04"	"30,433.21"	1939	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0005	KETCHIKAN FEDERAL BUILDING	KETCHIKAN FEDERAL	F	10	648 MISSION ST	KETCHIKAN	AK	99901	55.3415851	-131.6426876	"35,351.36"	"7,973.46"	1938	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0009	POST OFFICE AND CU H	NA	L	10	2ND ST	WRANGELL	AK	99929	56.4739490	-132.3881163	95.00	0.00	1941	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0013	HURFF A. SAUNDERS FB & ROBERT BOOCHEVER USCH	NA	F	10	709 W 9TH ST	JUNEAU	AK	99801	58.3013556	-134.4203474	"2,84,055.19"	"10,227.71"	1966	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0029	FAIRBANKS FEDERAL BUILDING	NA	F	10	101 12TH AVE	FAIRBANKS	AK	99701	64.8379103	-147.7067658	"1,00,277.77"	"10,626.58"	1977	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0031	ANCHORAGE NEW FEDERAL BLDG & JAMES M. FITZGERALD US CTHSE	FED BLDG-USCH	F	10	222 W 7TH AVE	ANCHORAGE	AK	99501	61.2151021	-149.8852000	"4,55,604.55"	"4,543.38"	1976	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0032	ANCHORAGE NEW FEDERAL BUILDING US COURTHOUSE ANNEX	FED BLDG-USCH	F	10	222 W 8TH AVE	ANCHORAGE	AK	99513	61.2143281	-149.8863246	"64,821.45"	"27,689.02"	1980	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0034	ANCHORAGE HISTORIC FEDERAL BUILDING - GARAGE	ANCHORAGE FEDERAL	F	10	654 W 3RD AVE	ANCHORAGE	AK	99501	61.2192693	-149.8945998	"1,599.51"	0.00	1991	0200	MARY SATTLER PELTOLA	Active	STRUCTURE
AK0035	ANCHORAGE NEW FEDERAL BUILDING US CTHSE - PARKING LOT	FED BLDG-USCH	F	10	7TH AVE BETWEEN C&D ST	ANCHORAGE	AK	99513	61.2153124	-149.8883927	0.00	0.00	1993	0200	MARY SATTLER PELTOLA	Active	STRUCTURE
AK0036	ALCAN RECREATION BUILDING	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6218602	-141.0095915	"1,449.81"	0.00	1971	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0037	ALCAN POLE BUILDING	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6219095	-141.0097633	"1,026.07"	0.00	1971	0200	MARY SATTLER PELTOLA	Active	BUILDING
